Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	protein import into peroxisome matrix, receptor recycling (GO:0016562)	0.0041931801169748	-2.4955876482246	13.6615851187841	PEX22	0.0251345683901075	0.011851717278592	0.0675731222245162
2	receptor recycling (GO:0001881)	0.0041931801169748	-2.4909512679848	13.6362042016545	PEX22	0.0251345683901075	0.011851717278592	0.0675731222245162
3	positive regulation of protein ubiquitination (GO:0031398)	0.00489045407330781	-2.4489589644725	13.0296130011637	PEX22	0.0251345683901075	0.0135347460761032	0.0675731222245162
4	fermentation (GO:0006113)	0.00489045407330781	-2.28342712573113	12.1489057988543	ACS1	0.0251345683901075	0.0135347460761032	0.0675731222245162
5	positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	0.00628364209752688	-2.26203575122045	11.4680813261525	PEX22	0.0251345683901075	0.0168932805561291	0.0675731222245162
6	acetyl-CoA metabolic process (GO:0006084)	0.00628364209752688	-2.1902728607417	11.1042574282472	ACS1	0.0251345683901075	0.0168932805561291	0.0675731222245162
7	regulation of histone acetylation (GO:0035065)	0.00628364209752688	-2.03551697089794	10.3196751644736	FUN19	0.0251345683901075	0.0168932805561291	0.0675731222245162
8	acetyl-CoA biosynthetic process (GO:0006085)	0.00489045407330781	-1.93932008119814	10.3180945495508	ACS1	0.0251345683901075	0.0135347460761032	0.0675731222245162
9	negative regulation of cellular process (GO:0048523)	0.00489045407330781	-1.91519496919113	10.1897376119208	SSA1	0.0251345683901075	0.0135347460761032	0.0675731222245162
10	positive regulation of peptidyl-lysine acetylation (GO:2000758)	0.00628364209752688	-2.00465735950206	10.1632229364351	FUN19	0.0251345683901075	0.0168932805561291	0.0675731222245162
11	glutamate biosynthetic process (GO:0006537)	0.00837002849309591	-2.04564757159092	9.78453278852527	GDH3	0.0285326077459959	0.0219123225278389	0.0761853185325255
12	negative regulation of cell aging (GO:0090344)	0.0041931801169748	-1.74872134709121	9.57301802215494	SSA1	0.0251345683901075	0.011851717278592	0.0675731222245162
13	regulation of cell aging (GO:0090342)	0.0041931801169748	-1.73327634854059	9.48846753060683	SSA1	0.0251345683901075	0.011851717278592	0.0675731222245162
14	acetate metabolic process (GO:0006083)	0.00558727464292617	-1.80575789240034	9.36694227995409	ACS1	0.0251345683901075	0.0152152660997596	0.0675731222245162
15	positive regulation of histone acetylation (GO:0035066)	0.00628364209752688	-1.82311182249243	9.24282237172107	FUN19	0.0251345683901075	0.0168932805561291	0.0675731222245162
16	ribonucleoprotein complex disassembly (GO:0032988)	0.0104523466401661	-1.986534367708	9.06044174414136	SSA1	0.0285326077459959	0.0269089294828062	0.0761853185325255
17	chaperone mediated protein folding requiring cofactor (GO:0051085)	0.0111455499007797	-2.01373096957166	9.0551742020239	SSA1	0.0285326077459959	0.0285694944496971	0.0761853185325255
18	protein targeting (GO:0006605)	0.00187702456700047	-1.32400722468164	8.31220663836253	SSA1, PEX22	0.0251345683901075	0.010440266235718	0.0675731222245162
19	mitochondrion organization (GO:0007005)	0.00309914551650649	-1.43757285464135	8.30432481937497	FUN14, SSA1	0.0251345683901075	0.0168644539059556	0.0675731222245162
20	glutamate metabolic process (GO:0006536)	0.00975869216686492	-1.76317998616323	8.16281257486661	GDH3	0.0285326077459959	0.0252458812955987	0.0761853185325255
21	cellular response to unfolded protein (GO:0034620)	0.0090645862079642	-1.65402308574484	7.77949923837354	SSA1	0.0285326077459959	0.0235803467063256	0.0761853185325255
22	cellular response to topologically incorrect protein (GO:0035967)	0.0111455499007797	-1.72130712491713	7.74022752136796	SSA1	0.0285326077459959	0.0285694944496971	0.0761853185325255
23	positive regulation of histone modification (GO:0031058)	0.0090645862079642	-1.64428341398816	7.73368986021784	FUN19	0.0285326077459959	0.0235803467063256	0.0761853185325255
24	vesicle-mediated transport (GO:0016192)	0.00944287131722256	-1.6436094201571	7.66332099947161	SSA1, SNC1	0.0285326077459959	0.04853174903374	0.0839468091394422
25	vesicle-mediated transport to the plasma membrane (GO:0098876)	0.0173641192728694	-1.88843239243161	7.65447613974312	SNC1	0.0317515323846755	0.0434033576263572	0.0817004378849077
26	SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	0.0125306038616214	-1.72840704319511	7.56969919622431	SSA1	0.0296828932637246	0.0318831874337679	0.0776540372724549
27	'de novo' posttranslational protein folding (GO:0051084)	0.0111455499007797	-1.64377540212104	7.39158946260535	SSA1	0.0285326077459959	0.0285694944496971	0.0761853185325255
28	protein targeting to peroxisome (GO:0006625)	0.0139138562173709	-1.67611694782803	7.16518219956694	PEX22	0.0296828932637246	0.0351869856390811	0.0776540372724549
29	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	0.0146048074703434	-1.6875885153834	7.13243173889787	SSA1	0.0301518605839347	0.0368351821192173	0.0785817218543302
30	intracellular protein transmembrane transport (GO:0065002)	0.0159853614721335	-1.72353644660607	7.12868787239	SSA1	0.0313881689666476	0.040124185642975	0.0809987859394504
31	protein import into peroxisome matrix (GO:0016558)	0.0166749647635315	-1.67264234727377	6.84754152145682	PEX22	0.0313881689666476	0.0417649990000291	0.0809987859394504
32	response to unfolded protein (GO:0006986)	0.0139138562173709	-1.56155440170244	6.67544219825031	SSA1	0.0296828932637246	0.0351869856390811	0.0776540372724549
