Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	chaperonin-containing T-complex (GO:0005832)	0.00837002849309591	-1.9974082267775	9.55379927529513	SSA1	0.0360077602248952	0.0284569267112356	0.190811727716805
2	integral component of peroxisomal membrane (GO:0005779)	0.00975869216686492	-1.88293543638114	8.71723203437666	PEX22	0.0360077602248952	0.0327696195803677	0.190811727716805
3	mitochondrion (GO:0005739)	0.00517257235705625	-1.54180271373666	8.11664332529521	FUN14, GDH3, YAT1, ACS1	0.0360077602248952	0.192994262034898	0.273408537882773
4	fungal-type cell wall (GO:0009277)	0.00373488414414753	-1.36826832130687	7.64867256686289	PAU7, SSA1	0.0360077602248952	0.0336726578323774	0.190811727716805
5	intrinsic component of mitochondrial outer membrane (GO:0031306)	0.0173641192728694	-1.85562855994635	7.52151074788854	FUN14	0.0421700039483972	0.0561829510821496	0.191022033679309
6	cytosol (GO:0005829)	0.0105905177132045	-1.51358819911104	6.88349071110169	SSA1, GDH3, ACS1	0.0360077602248952	0.180711027668772	0.273408537882773
7	trans-Golgi network (GO:0005802)	0.0269653111515822	-1.68803443277676	6.09921278349997	SNC1	0.0458410289576898	0.0852435346758172	0.207020012784127
8	integral component of mitochondrial outer membrane (GO:0031307)	0.0173641192728694	-1.50415114333698	6.09685000288258	FUN14	0.0421700039483972	0.0561829510821496	0.191022033679309
9	nucleus (GO:0005634)	0.0212671092814502	-1.45146594495833	5.58900542734069	BDH2, FUN19, SSA1, GDH3	0.0451926072230816	0.500106024008229	0.531362650508744
10	polysome (GO:0005844)	0.0249152763623717	-1.30413208936271	4.81521320839299	SSA1	0.0458410289576898	0.0790849612808224	0.207020012784127
11	Golgi subcompartment (GO:0098791)	0.0492530925361582	-1.43803194333007	4.32960230203875	SNC1	0.0697752144262241	0.150583062374431	0.273408537882773
12	integral component of mitochondrial membrane (GO:0032592)	0.039856208964116	-1.3413036718768	4.32232033658747	FUN14	0.0615959593081792	0.123394648521316	0.262213628107796
13	mitochondrial outer membrane (GO:0005741)	0.0552487741714224	-1.30548346757471	3.78056148729538	FUN14	0.0722483969933986	0.167658108527287	0.273408537882773
14	cytosolic part (GO:0044445)	0.133748658625889	-1.66021358486935	3.34000593941634	SSA1	0.155045299261211	0.372023888900308	0.454012198534759
15	lytic vacuole membrane (GO:0098852)	0.143502510746135	-1.42358582124276	2.76375342458697	SSA1	0.155045299261211	0.394979432825238	0.454012198534759
16	fungal-type vacuole membrane (GO:0000329)	0.145924987539963	-1.25317638794638	2.41194169159719	SSA1	0.155045299261211	0.400598998707141	0.454012198534759
17	fungal-type vacuole (GO:0000324)	0.273949257737909	-1.25614594774712	1.6264733248347	SSA1	0.273949257737909	0.65307892553361	0.65307892553361
