Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	O-acetyltransferase activity (GO:0016413)	0.0090645862079642	-1.81983828231907	8.5593911314054	YAT1	0.0475192663106809	0.0162953105447814	0.0816232278716341
2	transcription coactivator activity (GO:0003713)	0.0214896370258662	-2.15608253977314	8.27975466122213	FUN19	0.0475192663106809	0.0369528223289075	0.0816232278716341
3	histone acetyltransferase activity (GO:0004402)	0.0214896370258662	-2.04191941555276	7.84134720581794	FUN19	0.0475192663106809	0.0369528223289075	0.0816232278716341
4	O-acyltransferase activity (GO:0008374)	0.0090645862079642	-1.60138762719949	7.53193467098988	YAT1	0.0475192663106809	0.0162953105447814	0.0816232278716341
5	tRNA binding (GO:0000049)	0.0173641192728694	-1.85277772455776	7.50995531622585	SSA1	0.0475192663106809	0.0301034983465032	0.0816232278716341
6	peptide-lysine-N-acetyltransferase activity (GO:0061733)	0.0208031695438646	-1.65632336730178	6.41436055913377	FUN19	0.0475192663106809	0.0358137955072357	0.0816232278716341
7	transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	0.0221756576116511	-1.61953193918994	6.1684086236722	YAT1	0.0475192663106809	0.0380908396734293	0.0816232278716341
8	ATP binding (GO:0005524)	0.0276477662224518	-1.61753686403277	5.80406250391401	SSA1	0.0483522386214786	0.0471587088045503	0.0823593717286882
9	adenyl ribonucleotide binding (GO:0032559)	0.0290113431728872	-1.51198723546113	5.35253820560826	SSA1	0.0483522386214786	0.0494156230372129	0.0823593717286882
10	ATPase activity, coupled (GO:0042623)	0.04724669333087	-1.69020354467849	5.15913100494387	SSA1	0.0662519033991751	0.0794932568976537	0.11139881719048
11	purine ribonucleoside triphosphate binding (GO:0035639)	0.0532541258766013	-1.47549830963531	4.32716437701087	SSA1	0.0665676573457516	0.0893586773998592	0.111698346749824
12	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.0485847291593951	-1.40064049119185	4.23616154822138	BDH2	0.0662519033991751	0.0816924659396854	0.11139881719048
13	ATPase activity (GO:0016887)	0.0756328872302612	-1.39922112778568	3.61259876157322	SSA1	0.0872687160349167	0.125914048965485	0.145285441114021
14	nucleoside-triphosphatase activity (GO:0017111)	0.12821689105377	-1.43836660694853	2.95445102069012	SSA1	0.137375240414753	0.210528334942157	0.225566073152311
15	RNA binding (GO:0003723)	0.286845677918473	-1.28668936583189	1.60683172483173	SSA1	0.286845677918473	0.452865236370212	0.452865236370212
