Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	Nitrogen metabolism  sce00910	0.00558727464292617	-2.19175046443347	11.3691875188877	GDH3	0.0560734972117343	0.0146656881457893	0.142619682324306
2	Butanoate metabolism  sce00650	0.00697955670934476	-2.01377416394291	9.99792529999731	BDH2	0.0560734972117343	0.0179002672694772	0.142619682324306
3	Propanoate metabolism  sce00640	0.00975869216686492	-2.06637466913657	9.56648173526416	ACS1	0.0560734972117343	0.0243428848145839	0.142619682324306
4	Arginine biosynthesis  sce00220	0.0125306038616214	-1.86743792015858	8.17859622759443	GDH3	0.0560734972117343	0.0307502439076065	0.142619682324306
5	SNARE interactions in vesicular transport  sce04130	0.0146048074703434	-1.75649160442941	7.42364406627511	SNC1	0.0560734972117343	0.0355327178508602	0.142619682324306
6	Lipid biosynthesis proteins  sce01004	0.0180528252715802	-1.80004047505318	7.2261780322812	ACS1	0.0560734972117343	0.0434598043742639	0.142619682324306
7	Alanine, aspartate and glutamate metabolism  sce00250	0.0228612315691841	-1.7918698685356	6.77024476641646	GDH3	0.0560734972117343	0.0544664519366715	0.142619682324306
8	Methane metabolism  sce00680	0.0187410830294371	-1.67787763725689	6.67298179962908	ACS1	0.0560734972117343	0.0450386877780227	0.142619682324306
9	Glyoxylate and dicarboxylate metabolism  sce00630	0.0214896370258662	-1.52517922525658	5.85696955778235	ACS1	0.0560734972117343	0.0513325215359545	0.142619682324306
10	Pyruvate metabolism  sce00620	0.0303731443230227	-1.49460196070902	5.2224328973075	ACS1	0.0560734972117343	0.0715492777023304	0.143098555404661
11	Longevity regulating pathway - multiple species  sce04213	0.0255990664886481	-1.39142423520741	5.099847262912	SSA1	0.0560734972117343	0.0607084350991702	0.142619682324306
12	Peroxisome  sce04146	0.0276477662224518	-1.3464122608522	4.83121039884012	YAT1	0.0560734972117343	0.0653673543986405	0.142619682324306
13	Proteasome  sce03051	0.039856208964116	-1.48589607651875	4.78826604612654	SSA1	0.0637699343425855	0.0929183670847552	0.159288629288152
14	Membrane trafficking  sce04131	0.0290068220771441	-1.24985407984654	4.42476370071388	SSA1, SNC1	0.0560734972117343	0.126040406765819	0.166536743684032
15	Glycolysis - Gluconeogenesis  sce00010	0.0385067787801947	-1.32367096682679	4.31109174376488	ACS1	0.0637699343425855	0.0898909794505506	0.159288629288152
16	Chaperones and folding catalysts  sce03110	0.0505885115400471	-1.21089570294446	3.61335004063758	SSA1	0.0723608014461958	0.116836753301186	0.166536743684032
17	Protein phosphatases and associated proteins  sce01009	0.0605487749079912	-1.26772663310753	3.5550934567278	SSA1	0.0726585298895894	0.138780619736693	0.166536743684032
18	Endocytosis  sce04144	0.0512555676910554	-1.05090873230753	3.12217736144902	SSA1	0.0723608014461958	0.11831402664377	0.166536743684032
19	Spliceosome  sce03040	0.0545843254054775	-1.02680185422297	2.98594853830933	SSA1	0.0726585298895894	0.125669542611884	0.166536743684032
20	Protein processing in endoplasmic reticulum  sce04141	0.0605487749079912	-1.02207197807502	2.86620262339409	SSA1	0.0726585298895894	0.138780619736693	0.166536743684032
21	Spliceosome  sce03041	0.0723729933365494	-1.03638077682901	2.72145515417018	SSA1	0.0827119923846279	0.164511671031942	0.18801333832222
22	Exosome  sce04147	0.130064447747756	-1.08821888980777	2.21966749207486	SSA1	0.141888488452097	0.28500570108168	0.310915310270924
23	Mitochondrial biogenesis  sce03029	0.163891789549731	-0.713664499838096	1.29069713812505	SSA1	0.171017519530154	0.351679912406035	0.366970343380211
24	Ribosome biogenesis  sce03009	0.195350549368385	-0.394391179784184	0.644024881033593	SSA1	0.195350549368385	0.410983894465634	0.410983894465634
