Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	transsulfuration (GO:0019346)	0.0621647790902897	-2.6280046079239	7.30050926772452	YML082W, YHR112C, YLL058W	0.999999999663225	0.000142370509956802	0.00803088607580279
2	homocysteine metabolic process (GO:0050667)	0.110974675974897	-2.44693369538207	5.37946933042215	YML082W, YHR112C, YLL058W	0.999999999663225	0.000243360184115236	0.00803088607580279
3	cysteine metabolic process (GO:0006534)	0.0850787484016382	-2.14062230117708	5.27487438001243	YML082W, YHR112C, YLL058W	0.999999999663225	0.000188508964138108	0.00803088607580279
4	sulfate transport (GO:0008272)	0.204136702962784	-2.32990098849718	3.7021320491591	YPR003C, YGR125W	0.999999999663225	0.00331041757733762	0.0655462680312849
5	homoserine metabolic process (GO:0009092)	0.202236194415752	-2.23978773093245	3.57989525354732	YML082W, YHR112C, YLL058W	0.999999999663225	0.000466659022927417	0.0115498108174536
6	cellular response to water deprivation (GO:0042631)	0.251460677582014	-1.84969135758161	2.55344093729018	YJL144W, YNL190W	0.999999999663225	0.00411195533164621	0.0678472629721625
7	pentose metabolic process (GO:0019321)	0.539115716818591	-2.71006269074386	1.67434459882143	YDR109C	0.999999999663225	0.0673783729400428	0.284626372677682
8	inorganic anion transmembrane transport (GO:0098661)	0.478849209672958	-2.0289962166942	1.49409099752951	YPR003C, YGR125W	0.999999999663225	0.00929672893654156	0.115047020589702
9	cysteine biosynthetic process (GO:0019344)	0.594945552476057	-2.57972848533594	1.33961530245638	YHR112C	0.999999999663225	0.0766336973629216	0.284626372677682
10	polysaccharide catabolic process (GO:0000272)	0.539115716818591	-2.11632695473267	1.30751979210645	YBR056W	0.999999999663225	0.0673783729400428	0.284626372677682
11	pentose catabolic process (GO:0019323)	0.594945552476057	-2.4960740231167	1.29617476274662	YJR096W	0.999999999663225	0.0766336973629216	0.284626372677682
12	regulation of protein metabolic process (GO:0051246)	0.539115716818591	-2.05355957888313	1.26874053541441	YIL001W	0.999999999663225	0.0673783729400428	0.284626372677682
13	regulation of small GTPase mediated signal transduction (GO:0051056)	0.594945552476057	-2.16215295131662	1.12277443006092	YLR179C	0.999999999663225	0.0766336973629216	0.284626372677682
14	acylglycerol catabolic process (GO:0046464)	0.594945552476057	-2.09487425879296	1.08783758823967	YPR147C	0.999999999663225	0.0766336973629216	0.284626372677682
15	purine ribonucleotide transport (GO:0015868)	0.594945552476057	-2.01966930354997	1.04878475402214	YPR011C	0.999999999663225	0.0766336973629216	0.284626372677682
16	regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter (GO:0072363)	0.594945552476057	-2.0171006816292	1.04745090619636	YMR111C	0.999999999663225	0.0766336973629216	0.284626372677682
17	adenine nucleotide transport (GO:0051503)	0.594945552476057	-2.0061662436754	1.04177281236209	YPR011C	0.999999999663225	0.0766336973629216	0.284626372677682
18	regulation of glycolytic process by regulation of transcription from RNA polymerase II promoter (GO:0072361)	0.594945552476057	-1.98542692275561	1.03100318609148	YMR111C	0.999999999663225	0.0766336973629216	0.284626372677682
19	triglyceride catabolic process (GO:0019433)	0.594945552476057	-1.81002896551484	0.939921590150303	YPR147C	0.999999999663225	0.0766336973629216	0.284626372677682
20	glucan catabolic process (GO:0009251)	0.644014820291728	-1.946487939012	0.8565199788909	YBR056W	0.999999999663225	0.0857991073366193	0.284626372677682
21	regulation of phosphorylation (GO:0042325)	0.687141876415978	-2.17165404481139	0.814836069640425	YLR345W	0.999999999663225	0.0948754575592273	0.284626372677682
22	regulation of generation of precursor metabolites and energy (GO:0043467)	0.687141876415978	-2.15088130200455	0.807041835496726	YLR345W	0.999999999663225	0.0948754575592273	0.284626372677682
23	dicarboxylic acid transport (GO:0006835)	0.687141876415978	-2.10881441913598	0.791257731403097	YPR003C	0.999999999663225	0.0948754575592273	0.284626372677682
24	regulation of histone acetylation (GO:0035065)	0.687141876415978	-2.00516001073107	0.752365095189997	YOR338W	0.999999999663225	0.0948754575592273	0.284626372677682
25	positive regulation of peptidyl-lysine acetylation (GO:2000758)	0.687141876415978	-1.9762148379785	0.741504446894235	YOR338W	0.999999999663225	0.0948754575592273	0.284626372677682
26	mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	0.687141876415978	-1.85660779797471	0.696626152116632	YJL045W	0.999999999663225	0.0948754575592273	0.284626372677682
27	positive regulation of histone acetylation (GO:0035066)	0.687141876415978	-1.8059197906708	0.677607277195877	YOR338W	0.999999999663225	0.0948754575592273	0.284626372677682
28	regulation of cellular pH (GO:0030641)	0.687141876415978	-1.74185053502237	0.653567563972637	YPR003C	0.999999999663225	0.0948754575592273	0.284626372677682
