Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	TRC complex (GO:0072380)	0.594945552476057	-2.25089266327683	1.16885566564568	YBR137W	0.999999999711271	0.150943981981945	0.543398335135003
2	membrane raft (GO:0045121)	0.651301497070618	-2.06151533179087	0.883941934506356	YNL194C, YGR130C, YKL050C	0.999999999711271	0.0219317378080394	0.157908512217884
3	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)	0.687141876415978	-1.67926881237657	0.630085994689598	YJL045W	0.999999999711271	0.185012634109943	0.605495893450723
4	SCF ubiquitin ligase complex (GO:0019005)	0.786054428043635	-1.95024079973719	0.469479989585512	YLR352W, YDR306C	0.999999999711271	0.0899615473246279	0.462659386240944
5	fungal-type vacuole lumen (GO:0000328)	0.835986309348602	-1.78473791722236	0.31972338039356	YLR179C	0.999999999711271	0.264381047534162	0.710649414224506
6	vacuolar lumen (GO:0005775)	0.855862280502313	-1.78117601877397	0.277232571811544	YLR179C	0.999999999711271	0.27931176830264	0.710649414224506
7	ribosome (GO:0005840)	0.82883167004433	-1.41938798651055	0.266473340410271	YGR054W, YBL028C, YPR148C, YNL247W, YGR283C, YMR114C, YOR019W, YJL213W, YMR295C, YHR020W, YNL208W	0.999999999711271	3.55490306684278e-05	0.0012797651040634
8	mating projection (GO:0005937)	0.902174449264105	-2.01615703453687	0.207558074066713	YBR016W	0.999999999711271	0.322328527000894	0.725239185752012
9	cullin-RING ubiquitin ligase complex (GO:0031461)	0.98619838849692	-1.83664834599042	0.025525259800013	YLR352W, YDR306C	0.999999999711271	0.276050897407735	0.710649414224506
10	lipid droplet (GO:0005811)	0.998941572841874	-1.63002636178248	0.00172617784776298	YPR147C	0.999999999711271	0.670484488125023	0.998547020227925
11	P-body (GO:0000932)	0.998795303846895	-1.3641349210317	0.00164435876701415	YBR238C	0.999999999711271	0.663599531352053	0.998547020227925
12	retrotransposon nucleocapsid (GO:0000943)	0.999291215073898	-1.53155973943699	0.00108593134810115	YCL019W, YNL054W-B, YGR109W-B	0.999999999711271	0.296103922593544	0.710649414224506
13	mitochondrial intermembrane space (GO:0005758)	0.999369384361281	-1.53378747351743	0.000967535470844138	YBR056W	0.999999999711271	0.696657705814426	0.998547020227925
14	integral component of mitochondrial membrane (GO:0032592)	0.999445970190048	-1.30100209427521	0.000720993687484331	YBR238C	0.999999999711271	0.70287291474739	0.998547020227925
15	integral component of plasma membrane (GO:0005887)	0.999737031590885	-1.38628366581434	0.00036459675099658	YPR003C, YDL199C, YGR125W	0.999999999711271	0.346389612504651	0.733530944127496
16	nuclear periphery (GO:0034399)	0.999710045399467	-1.15380972056874	0.000334600948505568	YHR097C	0.999999999711271	0.732108721453163	0.998547020227925
17	mitochondrial envelope (GO:0005740)	0.999776216692898	-1.41875979978995	0.000317530290295572	YBR056W	0.999999999711271	0.742989379663326	0.998547020227925
18	cytosolic small ribosomal subunit (GO:0022627)	0.999897139486162	-1.59123037191824	0.000163683192102577	YGR054W	0.999999999711271	0.773076051872987	0.998547020227925
19	small ribosomal subunit (GO:0015935)	0.99996352667686	-1.21551990920558	4.43348589560849e-05	YGR054W	0.999999999711271	0.807835472339516	0.998547020227925
20	lytic vacuole membrane (GO:0098852)	0.999969212306642	-1.33833095112402	4.12047572379388e-05	YMR160W, YML018C, YLR001C, YJL163C, YBR241C, YDL199C, YLR179C, YJR124C, YLR173W, YNL115C	0.999999999711271	0.0169495555004686	0.157908512217884
21	fungal-type vacuole membrane (GO:0000329)	0.999978574143345	-1.18549565841806	2.5400532157692e-05	YMR160W, YML018C, YLR001C, YJL163C, YBR241C, YDL199C, YLR179C, YJR124C, YLR173W, YNL115C	0.999999999711271	0.018911299088159	0.157908512217884
22	preribosome, large subunit precursor (GO:0030687)	0.999990026102939	-1.26599162989744	1.26269331661347e-05	YBL028C	0.999999999711271	0.843961265814896	0.998547020227925
23	mitochondrial inner membrane (GO:0005743)	0.999999255540171	-1.20849810949596	8.99678631104119e-07	YPR011C	0.999999999711271	0.897259669127516	0.998547020227925
24	cytoplasmic ribonucleoprotein granule (GO:0036464)	0.999999957190882	-1.25593145010915	5.37653186944763e-08	YBR238C	0.999999999711271	0.935262811573527	0.998547020227925
25	fungal-type cell wall (GO:0009277)	0.999999962357943	-1.0858114168568	4.08721759225369e-08	YNL190W	0.999999999711271	0.93661120092454	0.998547020227925
26	storage vacuole (GO:0000322)	0.999999973310146	-1.2091417957507	3.22718181482869e-08	YOR292C, YHR138C, YHR202W, YLR001C, YGR125W, YOL019W, YDR248C, YDR262W, YNL115C	0.999999999711271	0.126249812650533	0.536742211017908
27	lytic vacuole (GO:0000323)	0.999999982136244	-1.1174321157444	1.99615347499427e-08	YOR292C, YHR138C, YHR202W, YLR001C, YGR125W, YOL019W, YDR248C, YDR262W, YNL115C	0.999999999711271	0.134185552754477	0.536742211017908
28	fungal-type vacuole (GO:0000324)	0.999999999355226	-1.11616412802047	7.19673499142187e-10	YOR292C, YMR160W, YHR202W, YLR001C, YJL163C, YDL199C, YGR125W, YOL019W, YNL115C, YML018C, YHR138C, YBR241C, YLR179C, YJR124C, YDR248C, YLR173W, YDR262W	0.999999999711271	0.0117197803083902	0.157908512217884
29	nucleus (GO:0005634)	0.999999999386657	-1.10919673105541	6.80317852252036e-10	YBL028C, YGR122W, YML079W, YMR027W, YDL144C, YMR178W, YGR109W-B, YPL245W, YPR172W, YOR338W, YML082W, YBL029W, YCR016W, YPR127W, YER156C, YMR315W, YNL010W, YHR112C, YPL247C, YNL054W-B, YML053C, YHR097C, YMR111C, YCR090C, YJR096W, YNL035C, YOL057W, YMR310C, YCL019W, YGR111W, YMR114C, YER079W, YGL185C, YKR018C, YPL113C, YOR289W, YCL002C, YGR201C, YLR179C, YKL091C, YBR085C-A, YDL124W	0.999999999711271	0.0361904638596712	0.217142783158027
30	cytosol (GO:0005829)	0.999999999452842	-1.13739189769656	6.22333186012141e-10	YJR096W, YNL035C, YHR202W, YCR043C, YBR056W, YHR033W, YGL185C, YPL113C, YLR345W, YML131W, YCL002C, YJL068C, YPL191C, YDL124W	0.999999999711271	0.540553661547516	0.998547020227925
31	nuclear lumen (GO:0031981)	0.999999999550873	-1.21450883187196	5.45468387383841e-10	YBL028C, YCR016W, YGR283C, YHR097C	0.999999999711271	0.925062069187439	0.998547020227925
32	nucleolus (GO:0005730)	0.999999999520668	-1.05152689542768	5.04030742921629e-10	YBL028C, YCR016W, YGR283C	0.999999999711271	0.860718911329353	0.998547020227925
