Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	cystathionine gamma-synthase activity (GO:0003962)	0.0267263047758958	-2.19755969053289	7.95979634011872	YML082W, YHR112C, YLL058W	0.999999999536955	0.000265878819787267	0.0236632149610668
2	peptidase inhibitor activity (GO:0030414)	0.204136702962784	-2.13360058003291	3.39021749269232	YHR138C, YLR179C	0.999999999536955	0.00771181585294085	0.098050230130248
3	sulfate transmembrane transporter activity (GO:0015116)	0.204136702962784	-1.99423440454052	3.16876946232263	YPR003C, YGR125W	0.999999999536955	0.00771181585294085	0.098050230130248
4	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.204136702962784	-1.98553617034568	3.15494826917203	YJR096W, YDL124W	0.999999999536955	0.00771181585294085	0.098050230130248
5	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.298998371650733	-1.79792044798379	2.17066019404601	YJR096W, YDL124W	0.999999999536955	0.011553569146692	0.114251961561732
6	aldo-keto reductase (NADP) activity (GO:0004033)	0.298998371650733	-1.68243482773731	2.03123242396038	YJR096W, YDL124W	0.999999999536955	0.011553569146692	0.114251961561732
7	organic anion transmembrane transporter activity (GO:0008514)	0.346004295551068	-1.86454617955362	1.97885048470213	YPR003C, YPR011C	0.999999999536955	0.0137294729429453	0.122192309192214
8	inorganic anion transmembrane transporter activity (GO:0015103)	0.391910253174798	-1.96137276747107	1.83726182837325	YPR003C, YGR125W	0.999999999536955	0.0160681371379397	0.13000583684333
9	anion:anion antiporter activity (GO:0015301)	0.539115716818591	-2.40805722516607	1.48775805902226	YPR003C	0.999999999536955	0.102337265649809	0.369005334793983
10	protein homodimerization activity (GO:0042803)	0.44306711097722	-1.56652234853163	1.27520249789566	YPL113C, YML096W, YGL185C	0.999999999536955	0.00481784478118774	0.098050230130248
11	phosphofructokinase activity (GO:0008443)	0.594945552476057	-2.16907534926658	1.12636913015287	YLR345W	0.999999999536955	0.116091566002601	0.369005334793983
12	oxo-acid-lyase activity (GO:0016833)	0.594945552476057	-2.08752485591623	1.08402115072947	YER010C	0.999999999536955	0.116091566002601	0.369005334793983
13	solute:cation symporter activity (GO:0015294)	0.594945552476057	-2.0426957014046	1.06074202592182	YBR220C	0.999999999536955	0.116091566002601	0.369005334793983
14	endopeptidase regulator activity (GO:0061135)	0.594945552476057	-1.98385707072041	1.03018798487131	YHR138C	0.999999999536955	0.116091566002601	0.369005334793983
15	phosphotransferase activity, carboxyl group as acceptor (GO:0016774)	0.594945552476057	-1.89020611044172	0.981556409807424	YHR033W	0.999999999536955	0.116091566002601	0.369005334793983
16	carboxypeptidase activity (GO:0004180)	0.594945552476057	-1.88551737508944	0.979121618059851	YPL191C	0.999999999536955	0.116091566002601	0.369005334793983
17	substrate-specific channel activity (GO:0022838)	0.594945552476057	-1.62044796849052	0.841474948919512	YLL053C	0.999999999536955	0.116091566002601	0.369005334793983
18	carbohydrate kinase activity (GO:0019200)	0.644014820291728	-1.84929521230524	0.813751919269898	YDR109C	0.999999999536955	0.129639034771201	0.385828109620619
19	succinate dehydrogenase activity (GO:0000104)	0.687141876415978	-2.09596701678437	0.786437199853755	YJL045W	0.999999999536955	0.142982723274978	0.385828109620619
20	sugar-phosphatase activity (GO:0050308)	0.687141876415978	-1.98206503429344	0.743699525333766	YLR345W	0.999999999536955	0.142982723274978	0.385828109620619
