Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	Function unknown sce99997	0.20311735162372	-1.43965680402126	2.29477174285071	YLR152C, YIL001W, YMR310C, YML131W, YGR283C, YML079W, YLR179C, YPL245W	0.999999999738426	3.55812182360346e-06	0.000149441116591345
2	Selenocompound metabolism  sce00450	0.478849209672958	-1.80806323589365	1.33140268152601	YML082W, YLL058W	0.999999999738426	0.0272544917748968	0.214142729430743
3	Sulfur metabolism  sce00920	0.557722713769141	-2.07470736112119	1.21140787044212	YML082W, YLL058W	0.999999999738426	0.0345215836992343	0.214142729430743
4	Nitrogen metabolism  sce00910	0.644014820291728	-2.10774316414855	0.927477686494324	YJR149W	0.999999999738426	0.146813772960112	0.411078564288314
5	Secretion system  sce02044	0.688742224717364	-2.14488442474189	0.799802108555367	YER019C-A, YER087C-B	0.999999999738426	0.050986364150177	0.214142729430743
6	Arginine biosynthesis  sce00220	0.659317965560353	-1.8417404119687	0.767175796866783	YBR208C, YER069W	0.999999999738426	0.0466453058014254	0.214142729430743
7	Protein export  sce03060	0.786054428043635	-1.70122116786706	0.409533682343488	YER019C-A, YER087C-B	0.999999999738426	0.0696855366278307	0.243899378197408
8	Phagosome  sce04145	0.813457476638322	-1.58778010993291	0.327815662908883	YHR039C-A, YER019C-A, YER087C-B	0.999999999738426	0.0277852498302187	0.214142729430743
9	Vitamin B6 metabolism  sce00750	0.835986309348602	-1.69742365510018	0.304081637831313	YPR127W	0.999999999738426	0.232675083179984	0.57484432315055
10	Pentose phosphate pathway  sce00030	0.881917232156544	-1.46986263249898	0.184698629454962	YCR073W-A, YDR248C	0.999999999738426	0.101123410008085	0.303370230024255
11	Aminoacyl-tRNA biosynthesis  sce00970	0.878249612979055	-1.40604472971741	0.182538953493884	YNL247W, YDR341C, YHR020W	0.999999999738426	0.0382295433163897	0.214142729430743
12	Oxidative phosphorylation  sce00190	0.890350799900065	-1.27488892274746	0.148065263840752	YDR322C-A, YHR039C-A, YML081C-A, YJL045W, YOL077W-A, YHR001W-A	0.999999999738426	0.00230552200890366	0.0322773081246513
13	Arginine and proline metabolism  sce00330	0.941658641031932	-1.4639577095016	0.0880020800820772	YHR033W	0.999999999738426	0.334048263968705	0.704900337335343
14	Fructose and mannose metabolism  sce00051	0.954947316037513	-1.63973487635573	0.0755903126575293	YLR345W	0.999999999738426	0.357256585322439	0.704900337335343
15	Cysteine and methionine metabolism  sce00270	0.9666824885926	-1.76002285384602	0.0596386987748564	YML082W, YLL058W	0.999999999738426	0.172412253524812	0.452582165502632
16	Methane metabolism  sce00680	0.969428667850193	-1.40831500363832	0.0437259039428627	YJL068C	0.999999999738426	0.390583538061807	0.713239504286778
17	Amino acid related enzymes  sce01007	0.972618700117795	-1.26631198951251	0.0351568151079595	YNL247W, YDR341C, YHR020W	0.999999999738426	0.0828992053990511	0.267828202058473
18	RNA polymerase  sce03020	0.981772352766504	-1.49267631791039	0.0274590011240692	YHR143W-A	0.999999999738426	0.432385586844564	0.741782384548748
19	Citrate cycle (TCA cycle)  sce00020	0.985925896792495	-1.52944818278891	0.021678524854889	YJL045W	0.999999999738426	0.452214704355349	0.741782384548748
20	Peroxisome  sce04146	0.994308305933617	-1.11863575055766	0.00638512082765779	YEL020C	0.999999999738426	0.516392435906395	0.747878700278228
21	Translation factors  sce03012	0.998749127568285	-1.28663401143272	0.00161042244123982	YGR054W, YGR201C	0.999999999738426	0.359779615958852	0.704900337335343
22	Peptidases  sce01002	0.999737031590885	-1.07542500372257	0.000282839992973159	YFR006W, YOL057W, YBR139W	0.999999999738426	0.267842729993277	0.624966369984314
23	Protein processing in endoplasmic reticulum  sce04141	0.999867103147053	-0.949430046442116	0.000126184650222702	YER019C-A, YER087C-B	0.999999999738426	0.475715700982703	0.741782384548748
24	Pyrimidine metabolism  sce00240	0.999909640290289	-0.894736265375297	8.08517621332545e-05	YHR143W-A	0.999999999738426	0.72724674801625	0.937848912421604
25	Chaperones and folding catalysts  sce03110	0.999930270154355	-0.890806963070162	6.21179977987581e-05	YBR139W	0.999999999738426	0.73688128833126	0.937848912421604
26	Transporters  sce02000	0.999926846038217	-0.756698731376464	5.53575349125273e-05	YJL193W, YFL054C, YML018C, YHR005C-A, YAR002C-A, YPR011C, YEL020W-A, YPR133W-A, YGR125W, YDR338C, YLL053C	0.999999999738426	0.00207958992340275	0.0322773081246513
27	Purine metabolism  sce00230	0.999964436343334	-0.882868044570598	3.13985743462657e-05	YGL234W, YHR143W-A	0.999999999738426	0.537003974231626	0.751805563924277
28	Ubiquitin system  sce04121	0.999975338811753	-0.857550349098298	2.1148471364358e-05	YLR287C-A, YPL247C, YPL191C	0.999999999738426	0.369233510032799	0.704900337335343
29	Enzymes with EC numbers sce99980	0.999978044392558	-0.810271468776885	1.77901975878429e-05	YNL200C, YKL151C	0.999999999738426	0.558074112748447	0.756100410820476
30	Protein kinases  sce01001	0.999985282648984	-0.878790514927819	1.29335636521408e-05	YPL109C	0.999999999738426	0.788036729474893	0.960259137726431
31	Ribosome  sce03010	0.999979920926252	-0.502969924997004	1.00992716093969e-05	YLR287C-A, YFL034C-A, YFR031C-A, YJR094W-A, YFR032C-A, YBR084C-A, YER056C-A	0.999999999738426	0.0471229259213633	0.214142729430743
32	Ribosome biogenesis in eukaryotes  sce03008	0.999993241068193	-0.649605558814675	4.39065451142662e-06	YHR072W-A	0.999999999738426	0.809805619766925	0.960259137726431
33	DNA replication proteins  sce03032	0.999995977272743	-0.901310478812265	3.62573352238329e-06	YHR072W-A	0.999999999738426	0.823079260908369	0.960259137726431
34	Ribosome  sce03011	0.999996326042244	-0.308354606640617	1.13288387968927e-06	YLR287C-A, YFL034C-A, YFR031C-A, YJR094W-A, YFR032C-A, YBR084C-A, YER056C-A	0.999999999738426	0.0685742135901313	0.243899378197408
35	Transfer RNA biogenesis  sce03016	0.999999036094664	-0.418051702213022	4.02962460785918e-07	YNL247W, YDR341C, YHR020W	0.999999999738426	0.500095122183576	0.747878700278228
36	DNA repair and recombination proteins  sce03400	0.999999997717719	-0.54472570923983	1.24321715462208e-09	YHR143W-A	0.999999999738426	0.938591269742165	0.976640877953767
37	Messenger RNA biogenesis  sce03019	0.999999999617987	-0.611237258119384	2.33500496693343e-10	YGR054W, YGR201C	0.999999999738426	0.885195574098677	0.976640877953767
38	Mitochondrial biogenesis  sce03029	0.999999999203737	-0.268022082454807	2.13416022886745e-10	YHR005C-A, YDR341C, YCL057C-A, YEL020W-A, YPR133W-A	0.999999999738426	0.476860104352766	0.741782384548748
39	Membrane trafficking  sce04131	0.999999999586861	-0.396819192185858	1.63941515425985e-10	YAR002C-A, YDL130W-A, YBR139W	0.999999999738426	0.972744969391233	0.976640877953767
40	Exosome  sce04147	0.999999999712185	-0.447296419059237	1.28738715532851e-10	YBR139W	0.999999999738426	0.972801350564704	0.976640877953767
41	Transcription machinery  sce03021	0.999999999738426	-0.266434932963599	6.96925654070963e-11	YHR143W-A	0.999999999738426	0.97123904160834	0.976640877953767
42	Ribosome biogenesis  sce03009	0.999999999534826	0.0767245639853191	-3.56902646171113e-11	YHR072W-A, YGR210C	0.999999999738426	0.976640877953767	0.976640877953767
