Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	cysteine biosynthetic process (GO:0019344)	0.00314622201555442	-2.6147648629719	15.0651060950083	CYS3	0.0150807410340645	0.0135347460761032	0.063546065640135
2	transsulfuration (GO:0019346)	0.00359496327531779	-2.61420948918308	14.7133500612821	CYS3	0.0150807410340645	0.0152152660997596	0.063546065640135
3	homocysteine metabolic process (GO:0050667)	0.00449190715230381	-2.42848043037498	13.1270973258414	CYS3	0.0150807410340645	0.0185687926472456	0.063546065640135
4	regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	0.00359496327531779	-2.16267716128678	12.1720261039584	PMT2	0.0150807410340645	0.0152152660997596	0.063546065640135
5	sulfur amino acid biosynthetic process (GO:0000097)	0.0058359773052655	-2.28754335343497	11.7664677137148	CYS3	0.0150807410340645	0.0235803467063256	0.063546065640135
6	cysteine metabolic process (GO:0006534)	0.00404352496647435	-2.13088277017125	11.7425245278285	CYS3	0.0150807410340645	0.0168932805561291	0.063546065640135
7	intracellular protein transport (GO:0006886)	0.00223400380932036	-1.86571348221158	11.38824023027	PMT2, ERP2	0.0150807410340645	0.0291252800850619	0.063546065640135
8	'de novo' IMP biosynthetic process (GO:0006189)	0.00404352496647435	-2.0630023659977	11.3684601625219	ADE1	0.0150807410340645	0.0168932805561291	0.063546065640135
9	homoserine metabolic process (GO:0009092)	0.0058359773052655	-2.20128355814695	11.3227720369863	CYS3	0.0150807410340645	0.0235803467063256	0.063546065640135
10	regulation of response to endoplasmic reticulum stress (GO:1905897)	0.00314622201555442	-1.96431200394939	11.31748753483	PMT2	0.0150807410340645	0.0135347460761032	0.063546065640135
11	purine nucleotide biosynthetic process (GO:0006164)	0.00673112769902211	-2.25921556996424	11.2983655006868	ADE1	0.015385434740622	0.0269089294828062	0.063546065640135
12	protein exit from endoplasmic reticulum (GO:0032527)	0.0058359773052655	-2.19499310512013	11.2904157485979	PMT2	0.0150807410340645	0.0235803467063256	0.063546065640135
13	protein mannosylation (GO:0035268)	0.00449190715230381	-2.03084090309793	10.9776656442522	PMT2	0.0150807410340645	0.0185687926472456	0.063546065640135
14	ER-associated misfolded protein catabolic process (GO:0071712)	0.00404352496647435	-1.9494266269743	10.7425853279615	PMT2	0.0150807410340645	0.0168932805561291	0.063546065640135
15	endoplasmic reticulum inheritance (GO:0048309)	0.00628364209752688	-2.07708769636626	10.5304306577061	MYO4	0.0150807410340645	0.0252458812955987	0.063546065640135
16	protein O-linked mannosylation (GO:0035269)	0.00449190715230381	-1.89084786918231	10.2209363916033	PMT2	0.0150807410340645	0.0185687926472456	0.063546065640135
17	regulation of signal transduction (GO:0009966)	0.00538813325918294	-1.85393857289824	9.68415249031034	PMT2	0.0150807410340645	0.0219123225278389	0.063546065640135
18	maintenance of protein localization in endoplasmic reticulum (GO:0035437)	0.00538813325918294	-1.8060316891506	9.43390818646453	ERP2	0.0150807410340645	0.0219123225278389	0.063546065640135
19	serine family amino acid biosynthetic process (GO:0009070)	0.00628364209752688	-1.77378487466292	8.99274433958811	CYS3	0.0150807410340645	0.0252458812955987	0.063546065640135
20	IMP biosynthetic process (GO:0006188)	0.00494010989534587	-1.68571234079682	8.95175236944428	ADE1	0.0150807410340645	0.020241805572408	0.063546065640135
21	protein retention in ER lumen (GO:0006621)	0.00494010989534587	-1.67949124882379	8.91871608355949	ERP2	0.0150807410340645	0.020241805572408	0.063546065640135
22	purine nucleotide metabolic process (GO:0006163)	0.00717843417096981	-1.67052008474782	8.24681307176406	ADE1	0.0156620381912069	0.0285694944496971	0.063546065640135
23	Golgi organization (GO:0007030)	0.0125321626293864	-1.82992712447735	8.01408702457729	ERP2	0.0200936456261681	0.048303736573785	0.0773145409870614
24	ribosomal large subunit export from nucleus (GO:0000055)	0.0129771461335669	-1.80019283333472	7.82105560202771	ECM1	0.0200936456261681	0.0499323077208105	0.0773145409870614
25	maturation of 5.8S rRNA (GO:0000460)	0.00896587003008736	-1.60926666713461	7.58661433481814	MAK16	0.0176649756790743	0.0351869856390811	0.0687843182451
26	misfolded or incompletely synthesized protein catabolic process (GO:0006515)	0.0129771461335669	-1.72159659532697	7.47958910122506	PMT2	0.0200936456261681	0.0499323077208105	0.0773145409870614
27	intracellular mRNA localization (GO:0008298)	0.0103045691461267	-1.60798074314329	7.35678184075847	MYO4	0.0176649756790743	0.040124185642975	0.0687843182451
28	purine-containing compound biosynthetic process (GO:0072522)	0.00941228179936158	-1.51622396445482	7.07430659997335	ADE1	0.0176649756790743	0.0368351821192173	0.0687843182451
29	protein O-linked glycosylation (GO:0006493)	0.00985851481745036	-1.52423331873517	7.04107349426251	PMT2	0.0176649756790743	0.0384809144004563	0.0687843182451
30	endoplasmic reticulum organization (GO:0007029)	0.0151993911238522	-1.63677660677495	6.85236511625542	MYO4	0.0227990866857783	0.0580386406725189	0.0870579610087784
31	cellular response to misfolded protein (GO:0071218)	0.00985851481745036	-1.46263214484004	6.7565118150254	PMT2	0.0176649756790743	0.0384809144004563	0.0687843182451
32	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	0.0205146440903754	-1.68892412309155	6.56420002963072	MAK16	0.0298394823132734	0.0772473917196973	0.112359842501378
33	nucleotide biosynthetic process (GO:0009165)	0.0103045691461267	-1.42460842249311	6.51782269002893	ADE1	0.0176649756790743	0.040124185642975	0.0687843182451
34	maturation of LSU-rRNA (GO:0000470)	0.0227217959836979	-1.59236535250624	6.02619622958169	MAK16	0.0311613202062142	0.0851493164172645	0.116776205372248
35	ribosomal subunit export from nucleus (GO:0000054)	0.0218394663061333	-1.57137316198615	6.0089884285947	ECM1	0.0308321877263058	0.0819956806858754	0.115758608027118
36	protein glycosylation (GO:0006486)	0.0275619754837641	-1.66503729070896	5.97967865257952	PMT2	0.0339224313646327	0.102325448180309	0.125939013144995
37	vesicle organization (GO:0016050)	0.0258043813424198	-1.56736855812801	5.73219750362512	YAR028W	0.0334759541739499	0.096112518538596	0.124686510536557
38	cellular protein localization (GO:0034613)	0.0535897913959822	-1.73301073934709	5.07147688802406	ERP2	0.0571624441557143	0.191138163458447	0.20388070768901
39	ribosomal large subunit biogenesis (GO:0042273)	0.0458472595686009	-1.45601843402662	4.48808924565267	MAK16	0.0511783362626243	0.165339832238683	0.184565394126901
40	organelle inheritance (GO:0048308)	0.0271228414034504	-1.24315057942603	4.48451535607316	MYO4	0.0339224313646327	0.100775729489929	0.125939013144995
41	protein transport (GO:0015031)	0.0441190702995301	-1.42248828412245	4.43939127704772	ERP2	0.0504217946280344	0.159510076588613	0.182297230386986
42	ERAD pathway (GO:0036503)	0.0253645418427223	-1.1966229211763	4.3968749360451	PMT2	0.0334759541739499	0.0945534198211645	0.124686510536557
43	Golgi vesicle transport (GO:0048193)	0.0591468365234662	-1.5512070884229	4.38639818977495	ERP2	0.061718438111443	0.209333733453173	0.21843520012505
44	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	0.0384832231101604	-1.33612342113002	4.35246599749161	MAK16	0.0461798677321925	0.140316559529631	0.168379871435557
45	fungal-type cell wall organization (GO:0031505)	0.0655227562810446	-1.51706829329378	4.13455386460317	PMT2	0.0669168574785136	0.229882715274213	0.234773836875792
46	ER to Golgi vesicle-mediated transport (GO:0006888)	0.0397864182063169	-1.25030150986814	4.03125923210036	ERP2	0.0465792213147125	0.144779540689457	0.169497998855949
47	rRNA processing (GO:0006364)	0.052303260728085	-1.35458801866829	3.99697821128711	MAK16	0.0570581026124563	0.186887529543888	0.203877304956968
48	ribosome biogenesis (GO:0042254)	0.0764834173410216	-1.24125293415843	3.19086574170127	MAK16	0.0764834173410216	0.264395684963064	0.264395684963064
