Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	preribosome, large subunit precursor (GO:0030687)	0.00069074173480523	-1.56104544741973	11.3608900125118	ECM1, MAK16	0.00897964255246799	0.00791365878431136	0.102877564196048
2	preribosome (GO:0030684)	0.00287360874603972	-1.86208951050976	10.897295348959	ECM1, MAK16	0.0186784568492582	0.0306618963107035	0.134199989403187
3	endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	0.00896587003008736	-1.74789361259675	8.24014752053171	ERP2	0.0247828433596582	0.0321565120200881	0.134199989403187
4	COPII-coated ER to Golgi transport vesicle (GO:0030134)	0.0147552982558873	-1.85218544554913	7.80909732820797	ERP2	0.0319698128877557	0.0516153805396873	0.134199989403187
5	nucleolus (GO:0005730)	0.00453285589589689	-1.40960233564629	7.60678241037567	ECM1, MAK16	0.0196423755488865	0.0469690877374116	0.134199989403187
6	nuclear lumen (GO:0031981)	0.00953186283063776	-1.63453878525409	7.60569711996606	ECM1, MAK16	0.0247828433596582	0.0928607064490383	0.150898647979687
7	Golgi-associated vesicle (GO:0005798)	0.0213980359875539	-1.42313318292374	5.47117309949787	ERP2	0.0397392096911715	0.0736503362306774	0.150898647979687
8	nucleus (GO:0005634)	0.0297110820756098	-1.43516741096295	5.04638612370388	ADE1, ECM1, CYS3	0.0429160074425475	0.479518318287255	0.566703467066756
9	coated vesicle (GO:0030135)	0.0262440443923909	-1.34073435636031	4.88069699195937	ERP2	0.0426465721376351	0.0895290567785445	0.150898647979687
10	lytic vacuole membrane (GO:0098852)	0.094772107592952	-1.5088406913615	3.55525135052467	YAR028W	0.113949303400394	0.296624881521904	0.391567863755675
11	fungal-type vacuole membrane (GO:0000329)	0.0964186413387946	-1.3208571174747	3.08955839748575	YAR028W	0.113949303400394	0.301206049042827	0.391567863755675
12	fungal-type vacuole (GO:0000324)	0.185984018505932	-1.31977404762288	2.21998470762464	YAR028W	0.201482686714759	0.523515708460583	0.567142017498965
13	mitochondrion (GO:0005739)	0.388372846958365	-1.36750714977692	1.2933738418998	MYO4	0.388372846958365	0.848101167999222	0.848101167999222
