Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
1	Mannose type O-glycan biosynthesis  sce00515	0.00359496327531779	-2.11286841955046	11.8916914726632	PMT2	0.0277311831042261	0.0146656881457893	0.113600129134725
2	Selenocompound metabolism  sce00450	0.0058359773052655	-1.80806323589365	9.30015934235806	CYS3	0.0277311831042261	0.0227355419560082	0.113600129134725
3	Other types of O-glycan biosynthesis  sce00514	0.00628364209752688	-1.7913941859335	9.08202012297903	PMT2	0.0277311831042261	0.0243428848145839	0.113600129134725
4	Cysteine and methionine metabolism  sce00270	0.0183030623904596	-2.0032459119004	8.01435965597247	CYS3	0.0366061247809193	0.0669160414668499	0.181034390272426
5	Glycine, serine and threonine metabolism  sce00260	0.014311027383868	-1.76462833133965	7.49389106189548	CYS3	0.0333923972290253	0.0529005669549356	0.181034390272426
6	Membrane trafficking  sce04131	0.0122273541690376	-1.47101127294375	6.47845087401588	MYO4, ERP2	0.0333923972290253	0.126040406765819	0.196062854969052
7	Cytoskeleton proteins  sce04812	0.0288783207735391	-1.51831064537785	5.38190125494407	MYO4	0.0449218323143942	0.103448223012815	0.181034390272426
8	Ribosome biogenesis  sce03009	0.00792319517263603	-1.06741367088347	5.16410541559332	MAK16, ERP2	0.0277311831042261	0.0852947027965562	0.181034390272426
9	Glycosyltransferases  sce01003	0.0280009333643479	-1.26085014980356	4.50819169344605	PMT2	0.0449218323143942	0.100450141912969	0.181034390272426
10	Purine metabolism  sce00230	0.0441190702995301	-1.35888316533495	4.2408884052332	ADE1	0.0617666984193422	0.154582378787633	0.216415330302687
11	Messenger RNA biogenesis  sce03019	0.0885738271319703	-1.6317884344666	3.95532277789472	MYO4	0.103336131653965	0.293639804274191	0.33970860264141
12	Exosome  sce04147	0.0856684078116734	-1.45927926760955	3.58584485621914	CYS3	0.103336131653965	0.28500570108168	0.33970860264141
13	Transporters  sce02000	0.096007257671961	-1.14211404447144	2.6763518051498	ERP2	0.103392431339035	0.315443702452738	0.33970860264141
14	Mitochondrial biogenesis  sce03029	0.10868303136146	-1.00014891101307	2.21965008340132	MYO4	0.10868303136146	0.351679912406035	0.351679912406035
