#Transcript position	Transcript coverage profile
0.0	12.026495424583084
1.0	31.32740289789554
2.0	48.171574515797204
3.0	63.19658967992942
4.0	77.05449255211123
5.0	89.38271547880753
6.0	98.96758108395915
7.0	104.76746535885815
8.0	110.42233750015953
9.0	117.70567117788745
10.0	121.27800255401759
11.0	125.47176672322536
12.0	130.6860731955873
13.0	132.5627915994865
14.0	130.39338365227067
15.0	125.44263942317323
16.0	123.19707267297343
17.0	123.01004060491489
18.0	125.31720315239522
19.0	127.66957084591994
20.0	127.94388728707854
21.0	127.00219996170422
22.0	126.50527260024552
23.0	123.21883075301832
24.0	121.0878118704844
25.0	119.32597960703094
26.0	118.83445353610034
27.0	118.03024870870006
28.0	117.3733071863697
29.0	117.21624236551625
30.0	120.0784410030973
31.0	119.98149577880297
32.0	121.04655289187868
33.0	121.45310288950279
34.0	123.84177468423213
35.0	125.64532064489798
36.0	126.23581831548941
37.0	126.4440173068209
38.0	123.55116641055363
39.0	121.15987932684853
40.0	121.22658922302543
41.0	118.55499440235874
42.0	116.4124936815764
43.0	113.25713320924967
44.0	112.90071412146746
45.0	114.28652683007259
46.0	116.24136134427499
47.0	116.01514968864227
48.0	116.00851757678832
49.0	116.4420336984747
50.0	118.05689538557338
51.0	119.26460926394891
52.0	119.36346477034266
53.0	120.38163241087142
54.0	117.08323473102703
55.0	114.56399459272274
56.0	114.96006492577816
57.0	115.07029280366858
58.0	114.70914156736535
59.0	116.17235542828287
60.0	118.2869569718676
61.0	120.44458348849338
62.0	122.19139419248818
63.0	126.1823424840959
64.0	126.20479945826305
65.0	127.6785398647634
66.0	127.31180535301002
67.0	127.94428411849655
68.0	126.27162916470508
69.0	125.19696141578976
70.0	122.69628176798001
71.0	125.1163718533531
72.0	126.96463787135495
73.0	126.75106714276309
74.0	126.64594801546008
75.0	122.5619186047598
76.0	119.97037969627485
77.0	117.92603792349632
78.0	117.68700885444999
79.0	118.14526113875039
80.0	115.33990463595543
81.0	109.85662937106554
82.0	106.0403260115551
83.0	102.30891326174759
84.0	98.91060345887416
85.0	93.89544572744796
86.0	89.02152784836974
87.0	85.02659758167958
88.0	76.30572163427458
89.0	66.3997472606582
90.0	58.65799337444093
91.0	49.89693302590557
92.0	39.4606810435451
93.0	28.374793917203842
94.0	20.644070392304673
95.0	13.712807881827446
96.0	8.458018959725324
97.0	3.7412733947274766
98.0	1.2599901335786157
99.0	0.1605664533654501
