#Transcript position	Transcript coverage profile
0.0	7.380119448839492
1.0	21.134939842199994
2.0	33.08954851589644
3.0	45.9796669805971
4.0	57.478409498769764
5.0	65.34917674471862
6.0	69.92952911978202
7.0	72.3265207466532
8.0	73.9026710198206
9.0	77.48865475774835
10.0	79.76926687219284
11.0	84.49384204024204
12.0	88.84861606693154
13.0	89.68674289935713
14.0	88.64723596261099
15.0	84.59503065856711
16.0	81.07640839474081
17.0	78.92146372876378
18.0	78.3268044122508
19.0	79.05434255510902
20.0	78.26521676843903
21.0	76.63280598368375
22.0	76.606035363483
23.0	74.74201752762643
24.0	74.53887092699262
25.0	74.13738129803738
26.0	74.60879536371137
27.0	74.46749216033126
28.0	75.17160260153294
29.0	76.06011213866944
30.0	78.8070463186642
31.0	79.01767172165674
32.0	80.81610752095726
33.0	81.31417538652975
34.0	82.00558351628584
35.0	81.74003083735857
36.0	81.10873961520575
37.0	78.58696913669466
38.0	75.74645426231346
39.0	73.65141651229233
40.0	75.16468813278652
41.0	75.24719022657484
42.0	74.71958399004346
43.0	75.4405570977698
44.0	75.74150270810082
45.0	76.30880896499475
46.0	77.63148882822817
47.0	78.8618646348176
48.0	79.58461901948333
49.0	80.10173987970991
50.0	82.34693051389623
51.0	83.75300324511932
52.0	83.72484735977433
53.0	83.90566299888536
54.0	82.91837001523186
55.0	83.24264924724372
56.0	85.34585294427312
57.0	86.80239168046943
58.0	86.78954040199689
59.0	88.71927281423373
60.0	88.95248845968358
61.0	87.25816736589626
62.0	86.54436107005098
63.0	88.18369788856651
64.0	87.97215555483821
65.0	87.80193218815694
66.0	86.45788308275645
67.0	85.69366833199248
68.0	82.43246572417472
69.0	80.8119519567145
70.0	77.82268253742552
71.0	78.68175120881693
72.0	79.35317512226591
73.0	78.85862903850705
74.0	78.7424397694974
75.0	76.49718995654993
76.0	75.29992696816663
77.0	74.1596933823866
78.0	73.85694407735907
79.0	75.02439003700714
80.0	74.49993215174818
81.0	71.88529912032814
82.0	71.29689588633886
83.0	70.51535423358467
84.0	67.63793316174103
85.0	64.7996211348111
86.0	62.465940521860446
87.0	60.13316739248889
88.0	56.47249258073046
89.0	52.319503077402
90.0	48.24613193767614
91.0	44.029477180785186
92.0	37.74515455778789
93.0	28.969234411836027
94.0	21.427984014597413
95.0	14.262123348212594
96.0	7.059423393712048
97.0	2.3207845979539043
98.0	0.6818696505599143
99.0	0.11036838963310304
