#Transcript position	Transcript coverage profile
0.0	8.673982649107169
1.0	24.942647830964354
2.0	40.40349574277212
3.0	55.797033954803034
4.0	69.07899493012638
5.0	79.19207205065075
6.0	85.46686612403538
7.0	89.70194095680512
8.0	91.97904501991823
9.0	96.76524545364451
10.0	99.93278826623842
11.0	104.40412745500606
12.0	109.74268998790224
13.0	110.88424643302676
14.0	109.02588475129474
15.0	104.66152723657461
16.0	100.59842150347129
17.0	96.3313979323376
18.0	95.94832754287565
19.0	96.82346213929799
20.0	95.9840556602981
21.0	93.83835825016759
22.0	93.53705533720303
23.0	92.01316992852102
24.0	92.12474653853153
25.0	91.12753516877578
26.0	90.89086292355404
27.0	90.37799765648866
28.0	91.08168389202518
29.0	92.5969916129641
30.0	95.14161946963048
31.0	95.96206324438538
32.0	98.98890828229088
33.0	100.47064669452038
34.0	101.51051770861913
35.0	100.5120698262933
36.0	99.55410274176305
37.0	95.87793148851591
38.0	91.8826056174668
39.0	89.94451526657303
40.0	91.39820272695007
41.0	90.62485346578157
42.0	90.03866670720714
43.0	90.2239559821517
44.0	90.08989720850087
45.0	91.03636040941987
46.0	93.2788388879683
47.0	94.53410659809605
48.0	96.03196886683112
49.0	96.53721681432023
50.0	98.4964520862299
51.0	98.55952249933296
52.0	98.4143055643384
53.0	100.71207462492904
54.0	99.78372257335592
55.0	98.7735532986088
56.0	101.6049571127621
57.0	103.19950020771216
58.0	103.33416713995827
59.0	105.60162710671116
60.0	104.58655222354572
61.0	103.50480273380319
62.0	102.31968144307767
63.0	103.12711579875209
64.0	102.10680951224698
65.0	101.97340225227624
66.0	100.65356615160563
67.0	101.38652580756565
68.0	98.16360407660177
69.0	95.64592335409867
70.0	92.73477031269529
71.0	93.86747096221605
72.0	94.06611610312359
73.0	93.29199725674859
74.0	93.19131865137341
75.0	91.55056673412035
76.0	90.90042234864053
77.0	89.99132951322731
78.0	89.97226251785487
79.0	91.74752922606834
80.0	91.51700617312132
81.0	88.01986837039668
82.0	86.58142068650314
83.0	85.00075379442907
84.0	81.68415557103168
85.0	78.91438782970815
86.0	76.0579269414818
87.0	73.29715064847814
88.0	69.72685742029343
89.0	63.36889759813374
90.0	58.611621570442324
91.0	53.55336273603653
92.0	45.52066841595342
93.0	34.489649799786825
94.0	25.78427597833194
95.0	17.04125307393283
96.0	8.94503328657444
97.0	2.9777531182130152
98.0	0.9642906071217819
99.0	0.077663260376474
