.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
batch1_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch1_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch2_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
batch2_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch3_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch3_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
quimiostato1_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
quimiostato1_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
quimiostato2_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
quimiostato2_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
quimiostato3_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
quimiostato3_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
